case_id,eia_id,p_state,p_county,ylat,xlong,p_name,p_year,p_tech_pri,p_cap_ac,p_cap_dc,p_type,utility_name
60504,60504,MN,Lincoln,44.544137,-96.36824,Blazing Star Wind Farm 1,2020,WIND,200.0,,wind farm,Northern States Power Co - Minnesota
60505,60505,SD,Clark,45.051544,-97.826423,Crocker Wind Farm,2019,WIND,200.0,,wind farm,"Crocker Wind Farm, LLC"
60541,60541,IA,Adair,41.469985,-94.339357,Wind GEM,2015,WIND,1.9,,wind farm,"Wind GEM, LLC"
60545,60545,OK,Grant,36.9708,-97.7053,"Grant Plains Wind, LLC",2016,WIND,147.2,,wind farm,Southern Power Co
60551,60551,PA,Potter,41.869326,-77.665939,Big Level Wind,2019,WIND,90.0,,wind farm,Big Level Wind LLC
60574,60574,OK,Ellis,36.166503,-99.596006,"Great Western Wind Energy, LLC",2016,WIND,225.0,,wind farm,"EDF Renewable Asset Holdings, Inc."
60587,60587,IL,Ford,40.9675,-88.1975,Kelly Creek Wind Project,2016,WIND,184.0,,wind farm,"EDF Renewable Asset Holdings, Inc."
60592,60592,OK,Stephens,34.682883,-97.829283,Rush Springs Wind,2016,WIND,249.9,,wind farm,Rush Springs Wind Project
60594,60594,CA,Kern,35.046061,-118.28273,Voyager Wind I,2019,WIND,131.1,,wind farm,Terra-Gen Operating Co-Wind
60596,60596,NY,Steuben,42.375,-77.593,Baron Winds Farm,2023,WIND,130.0,,wind farm,"Big Sky Wind, LLC"
60619,60619,CO,Elbert,39.172111,-103.845358,Rush Creek Wind,2018,WIND,600.0,,wind farm,Public Service Co of Colorado
60620,60620,KS,Pratt,37.586714,-98.579264,"Ninnescah Wind Energy, LLC",2016,WIND,208.3,,wind farm,Ninnescah Wind Energy LLC
60639,60639,KS,Pratt,37.586714,-98.579264,Kingman Wind,2016,WIND,214.8,,wind farm,"Kingman Wind Energy, LLC"
60645,60645,TX,Webb,27.44,-98.91,"Javelina Wind Energy II, LLC",2016,WIND,200.0,,wind farm,"Javelina Wind Energy II, LLC"
60655,60655,MO,Atchison,40.4,-95.2,Rock Creek Wind Project,2017,WIND,300.0,,wind farm,"Enel Green Power NA, Inc."
60657,60657,TX,Donley,35.18172,-100.934408,"Salt Fork Wind Project, LLC",2016,WIND,174.0,,wind farm,Southern Power Co
60672,60672,MO,DeKalb,39.747699,-94.473482,Osborn Wind Energy,2016,WIND,200.9,,wind farm,Osborn Wind Energy LLC
60687,60687,KS,Clark,37.355,-99.991,"Cimarron Bend Wind Project I, LLC",2016,WIND,200.0,,wind farm,"Cimarron Bend Wind Project I, LLC"
