feature_type,source,name,operator,capacity_mw,latitude,longitude
generator,wind,Enercon E70/2000,Ventuno - Capo Rizzuto,2.0,38.982778,17.1163902
generator,wind,Enercon E70/2000,Ventuno - Capo Rizzuto,2.0,38.9827861,17.1216795
generator,wind,Enercon E70/2000,Ventuno - Capo Rizzuto,2.0,38.9861178,17.1241678
generator,wind,Enercon E70/2000,Ventuno - Capo Rizzuto,2.0,38.9886128,17.1358282
generator,wind,Enercon E70/2000,Ventuno - Capo Rizzuto,2.0,38.991394,17.133887
generator,wind,Enercon E70/2000,Ventuno - Capo Rizzuto,2.0,38.9547244,17.1519483
generator,wind,Enercon E70/2000,Ventuno - Capo Rizzuto,2.0,38.9549863,17.1488921
generator,wind,Enercon E70/2000,Ventuno - Capo Rizzuto,2.0,38.9552746,17.1394249
generator,wind,Enercon E70/2000,Ventuno - Capo Rizzuto,2.0,38.9555502,17.1463798
generator,wind,Enercon E70/2000,Ventuno - Capo Rizzuto,2.0,38.9561035,17.1308436
generator,wind,Enercon E70/2000,Ventuno - Capo Rizzuto,2.0,38.9575102,17.1363857
generator,wind,Enercon E70/2000,Ventuno - Capo Rizzuto,2.0,38.957772,17.1436208
generator,wind,Enercon E70/2000,Ventuno - Capo Rizzuto,2.0,38.9597256,17.1405646
generator,wind,Enercon E70/2000,Ventuno - Capo Rizzuto,2.0,38.9626406,17.1314454
