operator,capacity_mw,place,municipality,province,year_realized,latitude,longitude
Zon Braambergen B.V.,14.049,ALMERE,Almere,Flevoland,2023,52.33589636445499,5.284592073792241
Twence Zon B.V.,14,ZENDEREN,Borne,Overijssel,2024,52.329491562809885,6.703334676862793
FP Lux REIO PV Netherlands Hardenberg B.V.,13.996,HOOGENWEG,Hardenberg,Overijssel,2022,52.56139268372599,6.645784855143683
Zonnepark Cothen B.V.,13.962,WIJK BIJ DUURSTEDE,Wijk bij Duurstede,Utrecht,2022,51.99188439429263,5.306220037554985
***,13.748,ONSTWEDDE,Stadskanaal,Groningen,2018,52.98282356096809,6.987394379931424
Zonnepark Lange Runde B.V.,13.669,EMMEN,Emmen,Drenthe,2018,52.74363775049328,7.032186191351053
Blue Sky Energy I B.V.,13.63,ROTTERDAM,Rotterdam,Zuid-Holland,2022,51.954817631949204,4.429821799172769
BEE 't Zunneveld B.V.,13.531,HOOGENWEG,Hardenberg,Overijssel,2022,52.579734368529856,6.657947723398901
Zonnepark de Ekers B.V.,13.527,NIJEHASKE,De Fryske Marren,Friesland,2023,52.96482404572452,5.837561244470592
Zonnepark Werkhoven B.V.,13.48415,WERKHOVEN,Bunnik,Utrecht,2024,52.0331380557353,5.228335594500661
Prosoldiga B.V.,13.468,WARMENHUIZEN,Schagen,Noord-Holland,2021,52.72716112789554,4.774214314445942
Zonnepark Duistereweg B.V.,13.41,OOSTERWOLDE FR,Ooststellingwerf,Friesland,2023,52.98933062301455,6.273195669365005
Vlowijker Zonneweide II B.V.,13.37,WERKHOVEN,Bunnik,Utrecht,2023,52.034260023318915,5.221047527267581
FP Lux VB Solar Netherlands Gennep B.V.,13.369,HEIJEN,Gennep,Limburg,2020,51.66845749982388,6.0101679348643
Twence Zon B.V.,13.34,HENGELO OV,Enschede,Overijssel,2018,52.234372877897925,6.77803535811829
Zonnepark Tichelrijt 3 B.V.,13.2,DONGEN,Dongen,Noord-Brabant,2021,51.61252571693366,4.942147653383681
Zonpv Dinteloord B.V.,13.15,DINTELOORD,Steenbergen,Noord-Brabant,2024,51.63611545644961,4.402249930760928
Zonnepark Coevorderkanaal B.V.,13.12,COEVORDEN,Coevorden,Drenthe,2022,52.63855859376978,6.721823544527378
